timestamp,open,high,low,close,volume
2023-09-29 19:55:00,43.4862,43.5072,43.4492,43.4962,111050
2023-09-29 19:50:00,43.4487,43.4782,43.4452,43.4772,34570
2023-09-29 19:45:00,43.4672,43.4692,43.4392,43.4522,35680
2023-09-29 19:40:00,43.4482,43.4772,43.4472,43.4522,15750
2023-09-29 19:35:00,43.4052,43.4652,43.3972,43.4632,106860
2023-09-29 19:30:00,43.4402,43.4522,43.3952,43.4022,49020
2023-09-29 19:25:00,43.4572,43.4572,43.4332,43.4447,11630
2023-09-29 19:20:00,43.4472,43.4632,43.4427,43.4572,42060
2023-09-29 19:15:00,43.4562,43.4652,43.4312,43.4402,28440
2023-09-29 19:10:00,43.4422,43.4652,43.4422,43.4652,17280
2023-09-29 19:05:00,43.4702,43.4722,43.4412,43.4512,21860
2023-09-29 19:00:00,43.4492,43.4712,43.4492,43.4512,8400
2023-09-29 18:55:00,43.4802,43.4822,43.4492,43.4622,22460
2023-09-29 18:50:00,43.4722,43.4822,43.4722,43.4822,7350
2023-09-29 18:45:00,43.4792,43.4822,43.4722,43.4722,13470
2023-09-29 18:40:00,43.4792,43.4862,43.4722,43.4862,13370
2023-09-29 18:35:00,43.4767,43.4812,43.4722,43.4772,19700
2023-09-29 18:30:00,43.4782,43.4812,43.4722,43.4792,5340
2023-09-29 18:25:00,43.4807,43.4872,43.4772,43.4822,2320
2023-09-29 18:20:00,43.4872,43.4872,43.4722,43.4862,5570
2023-09-29 18:15:00,43.4832,43.4872,43.4722,43.4822,36120
2023-09-29 18:10:00,43.4832,43.4872,43.4782,43.4827,2340
2023-09-29 18:05:00,43.4827,43.4872,43.4762,43.4827,12680
2023-09-29 18:00:00,43.4772,43.4872,43.4722,43.4872,32110
2023-09-29 17:55:00,43.4817,43.4862,43.4722,43.4792,9040
2023-09-29 17:50:00,43.4772,43.4862,43.4772,43.4862,5720
2023-09-29 17:45:00,43.4747,43.4862,43.4722,43.4817,24070
2023-09-29 17:40:00,43.4792,43.4862,43.4722,43.4762,20290
2023-09-29 17:35:00,43.4732,43.4862,43.4722,43.4782,19860
2023-09-29 17:30:00,43.4782,43.4782,41.8449,43.4722,59080
2023-09-29 17:25:00,43.4832,43.4872,43.4782,43.4782,15280
2023-09-29 17:20:00,43.4822,43.4872,43.4772,43.4802,2110
2023-09-29 17:15:00,43.4732,43.4862,43.4722,43.4862,40630
2023-09-29 17:10:00,43.4757,43.4762,43.4722,43.4747,33850
2023-09-29 17:05:00,43.4752,43.4797,43.4752,43.4752,25650
2023-09-29 17:00:00,43.4772,43.4792,43.4602,43.4742,62140
2023-09-29 16:55:00,43.4802,43.7671,43.4772,43.4792,18340
2023-09-29 16:50:00,43.4812,43.4812,43.4782,43.4812,23640
2023-09-29 16:45:00,43.4767,43.4812,43.4742,43.4812,35150
2023-09-29 16:40:00,43.4762,43.4802,43.4752,43.4772,828890
2023-09-29 16:35:00,43.4792,43.4792,43.4722,43.4752,24780
2023-09-29 16:30:00,43.4822,43.4822,43.4762,43.4772,25490
2023-09-29 16:25:00,43.4737,43.4862,42.2054,43.4792,127500
2023-09-29 16:20:00,43.4772,43.4822,43.4682,43.4752,65280
2023-09-29 16:15:00,43.4727,43.4822,43.4672,43.4747,915390
2023-09-29 16:10:00,43.4762,43.4832,43.4652,43.4722,781920
2023-09-29 16:05:00,43.4782,43.4872,43.4692,43.4752,888360
2023-09-29 16:00:00,43.4732,43.5112,43.4622,43.4822,43664340
2023-09-29 15:55:00,43.5332,43.5392,43.4322,43.4742,14742980
2023-09-29 15:50:00,43.5242,43.6996,43.4872,43.5442,10022830
2023-09-29 15:45:00,43.4552,43.5372,43.4272,43.5280,4505880
2023-09-29 15:40:00,43.5082,43.5272,43.4272,43.4491,4469300
2023-09-29 15:35:00,43.4955,43.5332,43.4522,43.5128,3865020
2023-09-29 15:30:00,43.5212,43.5694,43.4812,43.4932,3069340
2023-09-29 15:25:00,43.5352,43.5572,43.4752,43.5312,3141540
2023-09-29 15:20:00,43.5472,43.5711,43.5102,43.5292,2342570
2023-09-29 15:15:00,43.5472,43.6001,43.5232,43.5492,2862530
2023-09-29 15:10:00,43.5482,43.6771,43.5202,43.5497,3713450
2023-09-29 15:05:00,43.5482,43.6411,43.5412,43.5477,3803820
2023-09-29 15:00:00,43.6247,43.6321,43.4842,43.5417,4470520
2023-09-29 14:55:00,43.5542,43.6291,43.5427,43.6271,5367700
2023-09-29 14:50:00,43.5312,43.5771,43.4972,43.5542,2494340
2023-09-29 14:45:00,43.5592,43.5811,43.5042,43.5293,2864930
2023-09-29 14:40:00,43.4522,43.5931,43.4522,43.5562,4149330
2023-09-29 14:35:00,43.4432,43.4702,43.4202,43.4577,1976910
2023-09-29 14:30:00,43.3623,43.4559,43.3443,43.4357,3314960
2023-09-29 14:25:00,43.4962,43.5162,43.3373,43.3603,3801400
2023-09-29 14:20:00,43.3633,43.5061,43.3563,43.4962,3819460
2023-09-29 14:15:00,43.3628,43.3972,43.3193,43.3653,2558560
2023-09-29 14:10:00,43.3303,43.3962,43.3213,43.3596,2342120
2023-09-29 14:05:00,43.3852,43.4152,43.3123,43.3263,3235270
2023-09-29 14:00:00,43.2948,43.3982,43.2842,43.3832,3249280
2023-09-29 13:55:00,43.3518,43.4227,43.2893,43.2973,3784920
2023-09-29 13:50:00,43.4187,43.4442,43.3453,43.3512,3883350
2023-09-29 13:45:00,43.5022,43.5272,43.3852,43.4185,2444230
2023-09-29 13:40:00,43.4832,43.5372,43.4332,43.5162,2666000
2023-09-29 13:35:00,43.4822,43.5252,43.4572,43.4772,2023790
