,ticket,year,month,day,time,open,high,low,close,volume
0,NVDA,2023,1,31,19:55:00,19.2969,19.2969,19.2449,19.2509,75400
1,NVDA,2023,1,31,19:50:00,19.2849,19.2929,19.2849,19.2929,8610
2,NVDA,2023,1,31,19:45:00,19.2759,19.3019,19.2759,19.3019,18500
3,NVDA,2023,1,31,19:40:00,19.2679,19.2829,19.2679,19.2829,33300
4,NVDA,2023,1,31,19:35:00,19.2639,19.2709,19.2629,19.2709,6030
5,NVDA,2023,1,31,19:30:00,19.2569,19.2729,19.2549,19.2589,21600
6,NVDA,2023,1,31,19:25:00,19.2589,19.2729,19.2549,19.2729,9710
7,NVDA,2023,1,31,19:20:00,19.2919,19.2919,19.2549,19.2549,15550
8,NVDA,2023,1,31,19:15:00,19.2529,19.2819,19.2529,19.2819,12190
9,NVDA,2023,1,31,19:10:00,19.2629,19.2629,19.2429,19.2429,34260
10,NVDA,2023,1,31,19:05:00,19.2789,19.2789,19.2679,19.2679,15040
11,NVDA,2023,1,31,19:00:00,19.2729,19.2929,19.2629,19.2839,64650
12,NVDA,2023,1,31,18:55:00,19.2829,19.2829,19.2729,19.2729,32670
13,NVDA,2023,1,31,18:50:00,19.2829,19.2829,19.2789,19.2789,17320
14,NVDA,2023,1,31,18:45:00,19.2909,19.2909,19.2759,19.2789,35420
15,NVDA,2023,1,31,18:40:00,19.2929,19.2979,19.2929,19.2979,16260
16,NVDA,2023,1,31,18:35:00,19.3029,19.3029,19.2979,19.2979,6000
17,NVDA,2023,1,31,18:30:00,19.2869,19.3128,19.2789,19.2789,70640
18,NVDA,2023,1,31,18:25:00,19.2849,19.2999,19.2849,19.2969,6850
19,NVDA,2023,1,31,18:20:00,19.2929,19.3078,19.2929,19.2929,20740
20,NVDA,2023,1,31,18:15:00,19.2829,19.2929,19.2739,19.2739,7570
21,NVDA,2023,1,31,18:10:00,19.2889,19.3059,19.2689,19.2689,261250
22,NVDA,2023,1,31,18:05:00,19.3428,19.3428,19.2689,19.2779,135430
23,NVDA,2023,1,31,18:00:00,19.3428,19.3428,19.2989,19.3138,18470
24,NVDA,2023,1,31,17:55:00,19.3328,19.3428,19.2929,19.3198,353570
25,NVDA,2023,1,31,17:50:00,19.3558,19.3558,19.3328,19.3328,46170
26,NVDA,2023,1,31,17:45:00,19.3888,19.3888,19.3508,19.3588,63500
27,NVDA,2023,1,31,17:40:00,19.3828,19.4198,19.3828,19.4058,12000
28,NVDA,2023,1,31,17:35:00,19.3828,19.4277,19.3828,19.3928,15840
29,NVDA,2023,1,31,17:30:00,19.3728,19.3828,19.3698,19.3698,13090
30,NVDA,2023,1,31,17:25:00,19.4028,19.4307,19.3728,19.3778,48640
31,NVDA,2023,1,31,17:20:00,19.4277,19.4307,19.3138,19.3728,206850
32,NVDA,2023,1,31,17:15:00,19.399,19.4387,19.3967,19.4327,38400
33,NVDA,2023,1,31,17:10:00,19.4527,19.4747,19.3858,19.4148,199920
34,NVDA,2023,1,31,17:05:00,19.4078,19.477,19.3548,19.4747,163210
35,NVDA,2023,1,31,17:00:00,19.3618,19.4078,19.3438,19.3998,74910
36,NVDA,2023,1,31,16:55:00,19.2425,19.4227,19.2425,19.3628,158280
37,NVDA,2023,1,31,16:50:00,19.3428,19.3628,19.2469,19.2469,240910
38,NVDA,2023,1,31,16:45:00,19.3268,19.3638,19.3168,19.3168,139860
39,NVDA,2023,1,31,16:40:00,19.4277,19.4437,19.3091,19.3328,415970
40,NVDA,2023,1,31,16:35:00,19.4707,19.4827,19.4088,19.4267,353030
41,NVDA,2023,1,31,16:30:00,19.4517,19.5027,19.4018,19.4627,513020
42,NVDA,2023,1,31,16:25:00,19.5277,19.5996,19.4517,19.4527,1220360
43,NVDA,2023,1,31,16:20:00,19.6735,19.6735,19.5088,19.5326,628830
44,NVDA,2023,1,31,16:15:00,19.4707,19.7604,19.4707,19.6935,1318450
45,NVDA,2023,1,31,16:10:00,19.5137,19.5366,19.4717,19.4717,195680
46,NVDA,2023,1,31,16:05:00,19.5376,19.5376,19.3851,19.5187,3303580
47,NVDA,2023,1,31,16:00:00,19.5197,19.5686,19.4727,19.5197,28699220
48,NVDA,2023,1,31,15:55:00,19.4917,19.5267,19.4158,19.5247,14073810
49,NVDA,2023,1,31,15:50:00,19.4178,19.5147,19.4068,19.4937,8604070
50,NVDA,2023,1,31,15:45:00,19.4297,19.4585,19.3948,19.4202,4611810
51,NVDA,2023,1,31,15:40:00,19.3956,19.4327,19.3928,19.4317,3209170
52,NVDA,2023,1,31,15:35:00,19.4237,19.4339,19.3923,19.3953,4586310
53,NVDA,2023,1,31,15:30:00,19.3598,19.4247,19.3598,19.4247,3743970
54,NVDA,2023,1,31,15:25:00,19.3778,19.3848,19.3488,19.3598,3461630
55,NVDA,2023,1,31,15:20:00,19.3948,19.4048,19.3728,19.3807,3685750
56,NVDA,2023,1,31,15:15:00,19.4267,19.4267,19.3688,19.3938,3828410
57,NVDA,2023,1,31,15:10:00,19.4457,19.4547,19.3998,19.4262,4030220
58,NVDA,2023,1,31,15:05:00,19.4797,19.4817,19.444,19.4467,2291620
