,ticket,year,month,day,time,open,high,low,close,volume
0,NVDA,2024,1,31,19:55:00,61.7729,61.7979,61.7539,61.7879,142280
1,NVDA,2024,1,31,19:50:00,61.7149,61.7729,61.7089,61.7699,105170
2,NVDA,2024,1,31,19:45:00,61.7709,61.7719,61.7089,61.7219,85370
3,NVDA,2024,1,31,19:40:00,61.7439,61.7719,61.7129,61.7709,68100
4,NVDA,2024,1,31,19:35:00,61.7229,61.7529,61.7049,61.7499,54430
5,NVDA,2024,1,31,19:30:00,61.7179,61.7229,61.6839,61.7229,75460
6,NVDA,2024,1,31,19:25:00,61.6829,61.7219,61.6739,61.7029,49600
7,NVDA,2024,1,31,19:20:00,61.672,61.6959,61.658,61.6829,28290
8,NVDA,2024,1,31,19:15:00,61.6949,61.6959,61.627,61.6635,40830
9,NVDA,2024,1,31,19:10:00,61.672,61.6979,61.666,61.6879,97180
10,NVDA,2024,1,31,19:05:00,61.6645,61.673,61.6555,61.669,42220
11,NVDA,2024,1,31,19:00:00,61.645,61.671,61.633,61.656,26590
12,NVDA,2024,1,31,18:55:00,61.609,61.667,61.582,61.624,55920
13,NVDA,2024,1,31,18:50:00,61.608,61.623,61.598,61.608,12120
14,NVDA,2024,1,31,18:45:00,61.671,61.671,61.576,61.5961,42720
15,NVDA,2024,1,31,18:40:00,61.6328,61.671,61.623,61.671,77220
16,NVDA,2024,1,31,18:35:00,61.6045,61.638,61.588,61.631,35690
17,NVDA,2024,1,31,18:30:00,61.5975,61.623,61.573,61.6045,11140
18,NVDA,2024,1,31,18:25:00,61.573,61.623,61.573,61.622,20370
19,NVDA,2024,1,31,18:20:00,61.617,61.634,61.593,61.603,107340
20,NVDA,2024,1,31,18:15:00,61.563,61.622,61.548,61.6125,51400
21,NVDA,2024,1,31,18:10:00,61.561,61.581,61.476,61.559,68030
22,NVDA,2024,1,31,18:05:00,61.506,61.561,61.474,61.541,68820
23,NVDA,2024,1,31,18:00:00,61.483,61.513,61.4631,61.4788,86000
24,NVDA,2024,1,31,17:55:00,61.498,61.511,61.473,61.48,38570
25,NVDA,2024,1,31,17:50:00,61.592,61.592,61.4962,61.498,33680
26,NVDA,2024,1,31,17:45:00,61.538,61.574,61.523,61.573,43330
27,NVDA,2024,1,31,17:40:00,61.513,61.548,61.473,61.51,24910
28,NVDA,2024,1,31,17:35:00,61.478,61.545,61.478,61.523,79290
29,NVDA,2024,1,31,17:30:00,61.4311,61.483,61.4241,61.483,64520
30,NVDA,2024,1,31,17:25:00,61.3361,61.453,61.3351,61.4261,44210
31,NVDA,2024,1,31,17:20:00,61.488,61.488,61.3231,61.3351,164470
32,NVDA,2024,1,31,17:15:00,61.493,61.521,61.461,61.468,43980
33,NVDA,2024,1,31,17:10:00,61.505,61.531,61.493,61.493,33130
34,NVDA,2024,1,31,17:05:00,61.5375,61.549,61.5,61.5,49220
35,NVDA,2024,1,31,17:00:00,61.562,61.572,61.5,61.551,42320
36,NVDA,2024,1,31,16:55:00,61.506,61.593,61.501,61.563,62870
37,NVDA,2024,1,31,16:50:00,61.573,61.603,61.505,61.551,60200
38,NVDA,2024,1,31,16:45:00,61.5,61.623,61.5,61.573,556450
39,NVDA,2024,1,31,16:40:00,61.568,61.606,61.473,61.505,137120
40,NVDA,2024,1,31,16:35:00,61.618,61.639,61.553,61.623,128450
41,NVDA,2024,1,31,16:30:00,61.631,61.647,61.587,61.628,50540
42,NVDA,2024,1,31,16:25:00,61.6989,61.7129,61.582,61.642,172970
43,NVDA,2024,1,31,16:20:00,61.7034,61.7229,61.5,61.6999,118420
44,NVDA,2024,1,31,16:15:00,61.6919,61.7329,61.5,61.7049,105180
45,NVDA,2024,1,31,16:10:00,61.6829,61.7479,61.3666,61.7059,779400
46,NVDA,2024,1,31,16:05:00,61.573,61.6829,61.5,61.6829,1153100
47,NVDA,2024,1,31,16:00:00,61.453,61.623,61.453,61.617,45399040
48,NVDA,2024,1,31,15:55:00,61.4995,61.583,61.4131,61.474,9635470
49,NVDA,2024,1,31,15:50:00,61.491,61.539,61.3421,61.4993,6038560
50,NVDA,2024,1,31,15:45:00,61.4431,61.624,61.4338,61.514,4987910
51,NVDA,2024,1,31,15:40:00,61.517,61.571,61.4271,61.4381,3710280
52,NVDA,2024,1,31,15:35:00,61.4361,61.541,61.3231,61.526,5166510
53,NVDA,2024,1,31,15:30:00,61.6879,61.7129,61.4021,61.462,4366230
54,NVDA,2024,1,31,15:25:00,61.7669,61.8139,61.6359,61.6859,3632250
55,NVDA,2024,1,31,15:20:00,61.578,61.9028,61.524,61.7669,5565790
56,NVDA,2024,1,31,15:15:00,61.574,61.6799,61.496,61.594,4178210
57,NVDA,2024,1,31,15:10:00,61.596,61.7179,61.3631,61.5844,5080610
58,NVDA,2024,1,31,15:05:00,61.532,61.638,61.2281,61.6215,7353810
59,NVDA,2024,1,31,15:00:00,61.8899,61.9728,61.3551,61.5141,7309750
60,NVDA,2024,1,31,14:55:00,61.9158,62.0528,61.8369,61.8939,4075010
61,NVDA,2024,1,31,14:50:00,61.8359,62.0376,61.7029,61.9153,5263830
62,NVDA,2024,1,31,14:45:00,62.0913,62.2417,61.7699,61.8419,8874790
63,NVDA,2024,1,31,14:40:00,61.8986,62.1727,61.8779,62.0748,9737260
64,NVDA,2024,1,31,14:35:00,61.7319,61.9458,61.5078,61.8964,10032050
65,NVDA,2024,1,31,14:30:00,61.5545,61.7699,61.4131,61.7119,5583150
66,NVDA,2024,1,31,14:25:00,61.533,61.593,61.4816,61.5501,2649920
67,NVDA,2024,1,31,14:20:00,61.4958,61.562,61.4041,61.533,2730070
68,NVDA,2024,1,31,14:15:00,61.6038,61.6724,61.486,61.5023,3818550
69,NVDA,2024,1,31,14:10:00,61.504,61.6789,61.473,61.6075,5045270
70,NVDA,2024,1,31,14:05:00,61.3141,61.554,61.2881,61.504,5594230
71,NVDA,2024,1,31,14:00:00,61.496,61.587,61.1062,61.2973,6927440
72,NVDA,2024,1,31,13:55:00,61.3891,61.543,61.3821,61.4815,2202210
73,NVDA,2024,1,31,13:50:00,61.499,61.52,61.3863,61.3891,1859250
74,NVDA,2024,1,31,13:45:00,61.4605,61.511,61.3929,61.504,2771270
75,NVDA,2024,1,31,13:40:00,61.3455,61.467,61.3392,61.467,2170270
76,NVDA,2024,1,31,13:35:00,61.3481,61.4431,61.3151,61.3331,2669220
77,NVDA,2024,1,31,13:30:00,61.3553,61.3961,61.2861,61.3415,3031030
78,NVDA,2024,1,31,13:25:00,61.4131,61.46,61.3431,61.3491,2666630
79,NVDA,2024,1,31,13:20:00,61.587,61.611,61.4001,61.4091,2693090
80,NVDA,2024,1,31,13:15:00,61.6301,61.6889,61.56,61.5811,3182900
81,NVDA,2024,1,31,13:10:00,61.612,61.644,61.539,61.632,2159210
82,NVDA,2024,1,31,13:05:00,61.5385,61.633,61.483,61.6178,2696900
83,NVDA,2024,1,31,13:00:00,61.487,61.607,61.483,61.533,3054140
84,NVDA,2024,1,31,12:55:00,61.3831,61.493,61.3311,61.4775,2550870
85,NVDA,2024,1,31,12:50:00,61.4051,61.468,61.3601,61.3781,2689360
86,NVDA,2024,1,31,12:45:00,61.5315,61.5377,61.3361,61.3986,2984750
87,NVDA,2024,1,31,12:40:00,61.471,61.573,61.4241,61.523,2521640
88,NVDA,2024,1,31,12:35:00,61.4785,61.521,61.3891,61.4665,2913050
89,NVDA,2024,1,31,12:30:00,61.6284,61.6545,61.4431,61.4765,2826500
90,NVDA,2024,1,31,12:25:00,61.528,61.661,61.504,61.625,2478240
91,NVDA,2024,1,31,12:20:00,61.5995,61.622,61.49,61.5335,3102300
92,NVDA,2024,1,31,12:15:00,61.7124,61.7429,61.5931,61.5945,3389510
93,NVDA,2024,1,31,12:10:00,61.7519,61.7669,61.667,61.7159,3283380
94,NVDA,2024,1,31,12:05:00,61.7214,61.7659,61.6769,61.7439,3135000
95,NVDA,2024,1,31,12:00:00,61.5769,61.7209,61.5686,61.7209,3945730
96,NVDA,2024,1,31,11:55:00,61.543,61.623,61.523,61.574,2861960
97,NVDA,2024,1,31,11:50:00,61.596,61.643,61.461,61.551,3929090
98,NVDA,2024,1,31,11:45:00,61.466,61.6147,61.4157,61.5765,5421330
99,NVDA,2024,1,31,11:40:00,61.453,61.473,61.3909,61.465,3793100
100,NVDA,2024,1,31,11:35:00,61.2952,61.473,61.2731,61.4612,4530680
101,NVDA,2024,1,31,11:30:00,61.2801,61.3221,61.2201,61.2981,2810270
102,NVDA,2024,1,31,11:25:00,61.2531,61.285,61.1732,61.2621,3405560
103,NVDA,2024,1,31,11:20:00,61.3146,61.4071,61.2549,61.2631,3534160
104,NVDA,2024,1,31,11:15:00,61.2471,61.3651,61.2281,61.3041,5041990
105,NVDA,2024,1,31,11:10:00,61.174,61.2711,61.1252,61.2421,4345840
106,NVDA,2024,1,31,11:05:00,61.1782,61.1922,61.0282,61.1766,4244700
107,NVDA,2024,1,31,11:00:00,60.9128,61.1912,60.8903,61.1832,7295970
108,NVDA,2024,1,31,10:55:00,60.8631,60.9283,60.8133,60.9123,4019690
109,NVDA,2024,1,31,10:50:00,60.907,60.9433,60.7604,60.8723,5114740
110,NVDA,2024,1,31,10:45:00,60.8113,60.9603,60.6734,60.907,7776250
111,NVDA,2024,1,31,10:40:00,60.7064,60.9343,60.6884,60.8175,8031560
112,NVDA,2024,1,31,10:35:00,60.9563,61.0225,60.6984,60.7154,12409420
113,NVDA,2024,1,31,10:30:00,61.1902,61.2231,60.7953,60.9613,15364450
114,NVDA,2024,1,31,10:25:00,61.525,61.528,61.1752,61.1942,7977530
115,NVDA,2024,1,31,10:20:00,61.549,61.593,61.448,61.535,5316770
116,NVDA,2024,1,31,10:15:00,61.524,61.6859,61.492,61.554,4551180
117,NVDA,2024,1,31,10:10:00,61.7414,61.7779,61.511,61.536,4611960
118,NVDA,2024,1,31,10:05:00,61.609,61.7849,61.492,61.7379,6160020
119,NVDA,2024,1,31,10:00:00,61.632,61.7069,61.534,61.6245,6217160
120,NVDA,2024,1,31,09:55:00,61.7829,61.9118,61.553,61.644,6720190
121,NVDA,2024,1,31,09:50:00,61.9758,62.0408,61.7529,61.7679,6800350
122,NVDA,2024,1,31,09:45:00,61.637,62.0478,61.534,62.0008,11560260
123,NVDA,2024,1,31,09:40:00,61.6999,61.8629,61.573,61.646,9857630
124,NVDA,2024,1,31,09:35:00,61.7809,61.8149,61.3531,61.7019,11277130
125,NVDA,2024,1,31,09:30:00,61.4131,61.9698,61.2731,61.7809,20482950
126,NVDA,2024,1,31,09:25:00,61.4421,61.449,61.3181,61.3681,582480
127,NVDA,2024,1,31,09:20:00,61.3991,61.453,61.3861,61.4431,162930
128,NVDA,2024,1,31,09:15:00,61.465,61.468,61.3791,61.4231,318360
129,NVDA,2024,1,31,09:10:00,61.495,61.523,61.4329,61.463,246210
130,NVDA,2024,1,31,09:05:00,61.4251,61.521,61.3531,61.4715,288850
131,NVDA,2024,1,31,09:00:00,61.4201,61.4251,61.3231,61.4026,385790
132,NVDA,2024,1,31,08:55:00,61.4231,61.4331,61.3731,61.4101,302800
133,NVDA,2024,1,31,08:50:00,61.473,61.553,61.4011,61.4231,235610
134,NVDA,2024,1,31,08:45:00,61.5074,61.523,61.4231,61.471,151240
135,NVDA,2024,1,31,08:40:00,61.4031,61.523,61.3821,61.493,321200
136,NVDA,2024,1,31,08:35:00,61.543,61.571,61.3961,61.4031,403690
137,NVDA,2024,1,31,08:30:00,61.573,63.3112,61.507,61.536,575150
138,NVDA,2024,1,31,08:25:00,61.6,61.673,61.553,61.573,335720
139,NVDA,2024,1,31,08:20:00,61.8109,61.8279,61.579,61.6,308500
140,NVDA,2024,1,31,08:15:00,61.8029,61.8689,61.7029,61.8119,384810
141,NVDA,2024,1,31,08:10:00,61.663,61.8469,61.632,61.7929,242640
142,NVDA,2024,1,31,08:05:00,61.647,61.673,61.605,61.662,200790
143,NVDA,2024,1,31,08:00:00,61.2611,62.7465,60.9013,61.6529,1477240
144,NVDA,2024,1,31,07:55:00,61.8309,61.8409,61.7229,61.7659,128790
145,NVDA,2024,1,31,07:50:00,61.7909,61.8509,61.7559,61.8189,110740
146,NVDA,2024,1,31,07:45:00,61.648,61.8169,61.643,61.7919,133170
147,NVDA,2024,1,31,07:40:00,61.6759,61.7019,61.6,61.673,78040
148,NVDA,2024,1,31,07:35:00,61.7729,61.7889,61.659,61.6819,134650
149,NVDA,2024,1,31,07:30:00,61.6939,61.8619,61.6939,61.7529,231520
150,NVDA,2024,1,31,07:25:00,61.65,61.7399,61.632,61.6939,145410
151,NVDA,2024,1,31,07:20:00,61.7429,61.7979,61.603,61.662,421980
152,NVDA,2024,1,31,07:15:00,61.569,61.7529,61.504,61.7339,429300
153,NVDA,2024,1,31,07:10:00,61.485,61.7099,61.457,61.568,393830
154,NVDA,2024,1,31,07:05:00,61.2391,61.482,61.2331,61.482,336590
155,NVDA,2024,1,31,07:00:00,61.2591,61.3121,61.2002,61.2381,265660
156,NVDA,2024,1,31,06:55:00,61.2511,61.2601,61.1222,61.2571,75840
157,NVDA,2024,1,31,06:50:00,61.2871,61.3031,61.2401,61.2511,111970
158,NVDA,2024,1,31,06:45:00,61.2421,61.3021,61.2391,61.2881,63670
159,NVDA,2024,1,31,06:40:00,61.1892,61.2701,61.1732,61.2471,38500
160,NVDA,2024,1,31,06:35:00,61.2211,61.2421,61.1932,61.1932,61490
161,NVDA,2024,1,31,06:30:00,61.1032,61.2251,61.1002,61.2221,46350
162,NVDA,2024,1,31,06:25:00,61.1742,61.1932,61.0982,61.1182,33270
163,NVDA,2024,1,31,06:20:00,61.1622,61.1922,61.1382,61.1722,36110
164,NVDA,2024,1,31,06:15:00,61.1472,61.1642,61.0932,61.1482,48370
165,NVDA,2024,1,31,06:10:00,61.0942,61.1522,61.0602,61.1462,67500
166,NVDA,2024,1,31,06:05:00,60.8743,61.1002,60.8553,61.0912,90580
167,NVDA,2024,1,31,06:00:00,60.8943,60.9503,60.8293,60.8733,95120
168,NVDA,2024,1,31,05:55:00,60.9493,60.9583,60.8863,60.9033,76580
169,NVDA,2024,1,31,05:50:00,61.0112,61.0502,60.9423,60.9423,55150
170,NVDA,2024,1,31,05:45:00,60.9493,61.0612,60.9493,61.0402,39600
171,NVDA,2024,1,31,05:40:00,60.9623,61.0152,60.9343,60.9493,84820
172,NVDA,2024,1,31,05:35:00,61.0372,61.0732,60.9613,60.9613,107160
173,NVDA,2024,1,31,05:30:00,61.1132,61.1272,60.9743,61.0312,132610
174,NVDA,2024,1,31,05:25:00,61.1142,61.1582,61.0592,61.1132,50140
175,NVDA,2024,1,31,05:20:00,61.0182,61.1362,61.0162,61.1152,64020
176,NVDA,2024,1,31,05:15:00,61.0132,61.0242,60.9393,61.0162,92290
177,NVDA,2024,1,31,05:10:00,61.0932,61.0932,60.9813,61.0142,81830
178,NVDA,2024,1,31,05:05:00,61.1942,61.2052,61.0932,61.0932,43020
179,NVDA,2024,1,31,05:00:00,61.1942,61.2122,61.1552,61.1942,45120
180,NVDA,2024,1,31,04:55:00,61.2201,61.2281,61.1832,61.2062,20000
181,NVDA,2024,1,31,04:50:00,61.2421,61.2681,61.1832,61.2052,50940
182,NVDA,2024,1,31,04:45:00,61.2221,61.2431,61.1582,61.2321,86680
183,NVDA,2024,1,31,04:40:00,61.1122,61.2361,61.0852,61.2191,109910
184,NVDA,2024,1,31,04:35:00,61.0732,61.1232,61.0342,61.0932,139170
185,NVDA,2024,1,31,04:30:00,61.2271,61.2271,61.0732,61.0732,92480
186,NVDA,2024,1,31,04:25:00,61.2571,61.2961,61.0842,61.1822,146830
187,NVDA,2024,1,31,04:20:00,61.3061,61.3541,61.2241,61.2531,118800
188,NVDA,2024,1,31,04:15:00,61.554,61.559,61.3231,61.3361,153140
189,NVDA,2024,1,31,04:10:00,61.6759,61.7039,61.525,61.56,80150
190,NVDA,2024,1,31,04:05:00,61.673,61.7349,61.624,61.6799,103350
191,NVDA,2024,1,31,04:00:00,61.663,61.7229,61.473,61.673,113590
192,NVDA,2024,1,30,19:55:00,61.667,61.673,61.58,61.628,204440
193,NVDA,2024,1,30,19:50:00,61.5635,61.6739,61.559,61.635,108150
194,NVDA,2024,1,30,19:45:00,61.623,61.648,61.539,61.563,117940
195,NVDA,2024,1,30,19:40:00,61.652,61.7179,61.599,61.623,81430
196,NVDA,2024,1,30,19:35:00,61.6255,61.658,61.578,61.657,160240
197,NVDA,2024,1,30,19:30:00,61.7049,61.7099,61.603,61.638,174780
198,NVDA,2024,1,30,19:25:00,61.667,61.7129,61.64,61.673,86170
199,NVDA,2024,1,30,19:20:00,61.668,61.67,61.622,61.665,62150
200,NVDA,2024,1,30,19:15:00,61.623,61.673,61.573,61.672,72770
201,NVDA,2024,1,30,19:10:00,61.594,61.7729,61.573,61.598,279960
202,NVDA,2024,1,30,19:05:00,61.455,61.611,61.451,61.611,186040
203,NVDA,2024,1,30,19:00:00,61.4426,61.473,61.4231,61.458,73990
204,NVDA,2024,1,30,18:55:00,61.4815,61.498,61.4231,61.4406,161870
205,NVDA,2024,1,30,18:50:00,61.4321,61.513,61.4216,61.489,144240
206,NVDA,2024,1,30,18:45:00,61.3741,61.4391,61.3741,61.4231,167290
207,NVDA,2024,1,30,18:40:00,61.3981,61.4321,61.3741,61.3841,133640
208,NVDA,2024,1,30,18:35:00,61.4331,61.513,61.3731,61.4031,190890
209,NVDA,2024,1,30,18:30:00,61.2861,61.452,61.2731,61.4031,154140
210,NVDA,2024,1,30,18:25:00,61.3223,61.3721,61.2731,61.2841,239500
